QueryId    Q0 DocumentName                             Rank      Score                      Relevance     Precision                                Recall           

1          Q0 CACM-2371                                1     36.20204695709471              NR         0.0                                      0.0                 
1          Q0 CACM-2500                                2     32.547032929069196             NR         0.0                                      0.0                 
1          Q0 CACM-2439                                3     31.505326385379647             NR         0.0                                      0.0                 
1          Q0 CACM-2947                                4     28.521636501085904             NR         0.0                                      0.0                 
1          Q0 CACM-2950                                5     28.432042358461285             NR         0.0                                      0.0                 
1          Q0 CACM-2535                                6     28.259736044552653             NR         0.0                                      0.0                 
1          Q0 CACM-1605                                7     26.579442828627776             R          0.14285714285714285                      0.2                 
1          Q0 CACM-2054                                8     24.233355079594766             NR         0.125                                    0.2                 
1          Q0 CACM-2378                                9     21.382773480641728             NR         0.1111111111111111                       0.2                 
1          Q0 CACM-2379                                10    20.48771171187296              NR         0.1                                      0.2                 
1          Q0 CACM-1657                                11    20.32486405486616              NR         0.09090909090909091                      0.2                 
1          Q0 CACM-2219                                12    19.399319207606485             NR         0.08333333333333333                      0.2                 
1          Q0 CACM-2948                                13    18.44108017122612              NR         0.07692307692307693                      0.2                 
1          Q0 CACM-2541                                14    17.816994989351695             NR         0.07142857142857142                      0.2                 
1          Q0 CACM-2522                                15    17.159117604394215             NR         0.06666666666666667                      0.2                 
1          Q0 CACM-2951                                16    16.923167452137804             NR         0.0625                                   0.2                 
1          Q0 CACM-3127                                17    16.547955564291936             NR         0.058823529411764705                     0.2                 
1          Q0 CACM-2501                                18    16.442830512236966             NR         0.05555555555555555                      0.2                 
1          Q0 CACM-2536                                19    16.335215053796496             NR         0.05263157894736842                      0.2                 
1          Q0 CACM-2849                                20    16.168017645151163             NR         0.05                                     0.2                 
1          Q0 CACM-2892                                21    16.080915044735317             NR         0.047619047619047616                     0.2                 
1          Q0 CACM-2357                                22    15.91900204284977              NR         0.045454545454545456                     0.2                 
1          Q0 CACM-2128                                23    15.710110521526602             NR         0.043478260869565216                     0.2                 
1          Q0 CACM-2344                                24    15.224005677999164             NR         0.041666666666666664                     0.2                 
1          Q0 CACM-1752                                25    15.154003120185838             NR         0.04                                     0.2                 
1          Q0 CACM-1938                                26    15.09655038800375              NR         0.038461538461538464                     0.2                 
1          Q0 CACM-2621                                27    15.015444886278729             NR         0.037037037037037035                     0.2                 
1          Q0 CACM-2380                                28    14.967128576495675             NR         0.03571428571428571                      0.2                 
1          Q0 CACM-2632                                29    14.940024480521192             NR         0.034482758620689655                     0.2                 
1          Q0 CACM-2424                                30    14.924436223469492             NR         0.03333333333333333                      0.2                 
1          Q0 CACM-3072                                31    14.840149190066041             NR         0.03225806451612903                      0.2                 
1          Q0 CACM-1908                                32    14.6760190648167               NR         0.03125                                  0.2                 
1          Q0 CACM-1844                                33    14.572101835754864             NR         0.030303030303030304                     0.2                 
1          Q0 CACM-2629                                34    14.533977187207512             NR         0.029411764705882353                     0.2                 
1          Q0 CACM-2499                                35    14.417344154254781             NR         0.02857142857142857                      0.2                 
1          Q0 CACM-2920                                36    13.971330582478908             NR         0.027777777777777776                     0.2                 
1          Q0 CACM-2946                                37    13.964819556631912             NR         0.02702702702702703                      0.2                 
1          Q0 CACM-1827                                38    13.870937814862314             NR         0.02631578947368421                      0.2                 
1          Q0 CACM-2399                                39    13.828083916161665             NR         0.02564102564102564                      0.2                 
1          Q0 CACM-2681                                40    13.600048493306696             NR         0.025                                    0.2                 
1          Q0 CACM-2280                                41    13.49315360253588              NR         0.024390243902439025                     0.2                 
1          Q0 CACM-2767                                42    13.195834885979306             NR         0.023809523809523808                     0.2                 
1          Q0 CACM-2764                                43    13.111117324154534             NR         0.023255813953488372                     0.2                 
1          Q0 CACM-3048                                44    13.034414140530927             NR         0.022727272727272728                     0.2                 
1          Q0 CACM-2375                                45    13.016318650314782             NR         0.022222222222222223                     0.2                 
1          Q0 CACM-2080                                46    12.999816494577646             NR         0.021739130434782608                     0.2                 
1          Q0 CACM-3023                                47    12.942442406675934             NR         0.02127659574468085                      0.2                 
1          Q0 CACM-3025                                48    12.361237165370204             NR         0.020833333333333332                     0.2                 
1          Q0 CACM-1769                                49    12.268822862471783             NR         0.02040816326530612                      0.2                 
1          Q0 CACM-2740                                50    12.238308219694336             NR         0.02                                     0.2                 
1          Q0 CACM-2560                                51    12.1809698653925               NR         0.0196078431372549                       0.2                 
1          Q0 CACM-2482                                52    12.112086740378494             NR         0.019230769230769232                     0.2                 
1          Q0 CACM-2228                                53    12.017787288709874             NR         0.018867924528301886                     0.2                 
1          Q0 CACM-3174                                54    11.974364703512467             NR         0.018518518518518517                     0.2                 
1          Q0 CACM-2485                                55    11.936492211485385             NR         0.01818181818181818                      0.2                 
1          Q0 CACM-3069                                56    11.895285264123947             NR         0.017857142857142856                     0.2                 
1          Q0 CACM-2398                                57    11.524820431549935             NR         0.017543859649122806                     0.2                 
1          Q0 CACM-2597                                58    11.506104392378605             NR         0.017241379310344827                     0.2                 
1          Q0 CACM-2878                                59    11.404899836385976             NR         0.01694915254237288                      0.2                 
